year,pesticides_tones
1990,29367.13
1991,29400.46
1992,29473.08
1993,29276.85
1994,29353.51
1995,29430.18
1996,29347.92
1997,29423.87
1998,29221.52
1999,29297.91
2000,29373.14
2001,25722.55
2002,12752.18
2003,17898.2
2004,20506.67
2005,43115.24
2006,42364.68
2007,56198.8
2008,55224.56
2009,55394.88
2010,57531.06
2011,58790.27
2012,54189.01
2013,52407.9
2014,47365.97
2015,53185.19
2016,52392.02
2017,56102.86
2018,58561.82
2019,53908.57
2020,45879.88
2021,47959.41
