year,avg_temp
1990,20.96
1991,20.9
1992,20.68
1993,20.96
1994,21.38
1995,21.31
1996,21.17
1997,20.91
1998,21.44
1999,21.0
2000,21.17
2001,21.0
2002,21.19
2003,21.26
2004,20.98
2005,21.28
2006,21.45
2007,21.09
2008,21.06
2009,21.55
2010,20.78
2011,21.59
2012,21.66
2013,21.16
2014,21.39
2015,21.54
2016,21.75
2017,22.03
2018,21.66
2019,21.88
2020,22.08
2021,21.86
