year,precipitation_mm
1990,821.09
1991,754.5
1992,779.3
1993,773.06
1994,657.44
1995,758.11
1996,721.17
1997,736.22
1998,783.58
1999,789.05
2000,725.73
2001,691.58
2002,732.77
2003,777.19
2004,844.65
2005,727.52
2006,816.78
2007,782.84
2008,797.86
2009,686.9
2010,827.37
2011,696.18
2012,710.26
2013,931.07
2014,866.07
2015,765.58
2016,801.73
2017,795.08
2018,783.02
2019,721.02
2020,691.92
2021,837.45
